lat,lng,elevation,distance
34.807704,138.065997,88.42,0
34.807720,138.065972,88.3,2
34.807735,138.065947,88.73,5
34.807751,138.065922,88.61,8
34.807766,138.065896,89.12,11
34.807782,138.065871,89.89,14
34.807797,138.065846,89.89,17
34.807813,138.065821,90.26,20
34.807828,138.065796,90.2,22
34.807844,138.065771,90.16,25
34.807859,138.065746,89.96,28
34.807875,138.065721,89.78,31
34.807890,138.065696,89.41,34
34.807906,138.065671,89.41,37
34.807921,138.065646,89.79,40
34.807937,138.065621,89.79,42
34.807952,138.065596,90.43,45
34.807968,138.065571,90.54,48
34.807983,138.065546,90.54,51
34.807999,138.065521,90.11,54
34.808014,138.065496,90.11,57
34.808030,138.065471,89.41,60
34.808045,138.065446,89.41,63
34.808061,138.065421,89.06,65
34.808076,138.065396,89.04,68
34.808092,138.065371,89.04,71
34.808107,138.065345,89.05,74
34.808123,138.065320,89.05,77
34.808138,138.065295,89.07,80
34.808154,138.065270,89.1,83
34.808169,138.065245,89.08,85
34.808185,138.065220,89.1,88
34.808200,138.065195,89.1,91
34.808215,138.065170,89.13,94
34.808231,138.065145,89.13,97
34.808246,138.065120,89.17,100
34.808262,138.065095,89.26,103
34.808277,138.065070,89.21,105
34.808293,138.065045,89.87,108
34.808308,138.065020,89.85,111
34.808324,138.064995,90.21,114
34.808339,138.064970,90.37,117
34.808355,138.064945,90.35,120
34.808370,138.064920,90.35,123
34.808386,138.064895,90.32,126
34.808401,138.064870,90.3,128
34.808417,138.064845,90.3,131
34.808432,138.064820,90.36,134
34.808448,138.064795,90.47,137
34.808463,138.064769,90.47,140
34.808479,138.064744,90.55,143
34.808494,138.064719,90.51,146
34.808510,138.064694,90.48,148
34.808525,138.064669,90.5,151
34.808541,138.064644,90.5,154
34.808556,138.064619,90.55,157
34.808572,138.064594,90.55,160
34.808587,138.064569,90.53,163
34.808603,138.064544,90.52,166
34.808618,138.064519,90.51,169
34.808634,138.064494,90.5,171
34.808649,138.064469,90.5,174
34.808665,138.064444,90.51,177
34.808680,138.064419,90.51,180
34.808696,138.064394,90.52,183
34.808711,138.064369,90.5,186
34.808727,138.064344,90.5,189
34.808742,138.064319,90.51,191
34.808758,138.064294,90.51,194
34.808773,138.064269,90.52,197
