lat,lng,height,distance
34.807704,138.065997,30,0
34.807720,138.065972,30,2
34.807735,138.065947,30,5
34.807751,138.065922,30,8
34.807766,138.065896,30,11
34.807782,138.065871,30,14
34.807797,138.065846,30,17
34.807813,138.065821,30,20
34.807828,138.065796,30,22
34.807844,138.065771,30,25
34.807859,138.065746,30,28
34.807875,138.065721,30,31
34.807890,138.065696,30,34
34.807906,138.065671,30,37
34.807921,138.065646,30,40
34.807937,138.065621,30,42
34.807952,138.065596,30,45
34.807968,138.065571,30,48
34.807983,138.065546,30,51
34.807999,138.065521,30,54
34.808014,138.065496,30,57
34.808030,138.065471,30,60
34.808045,138.065446,30,63
34.808061,138.065421,30,65
34.808076,138.065396,30,68
34.808092,138.065371,30,71
34.808107,138.065345,30,74
34.808123,138.065320,30,77
34.808138,138.065295,30,80
34.808154,138.065270,30,83
34.808169,138.065245,30,85
34.808185,138.065220,30,88
34.808200,138.065195,30,91
34.808215,138.065170,30,94
34.808231,138.065145,30,97
34.808246,138.065120,30,100
34.808262,138.065095,30,103
34.808277,138.065070,30,105
34.808293,138.065045,30,108
34.808308,138.065020,30,111
34.808324,138.064995,30,114
34.808339,138.064970,30,117
34.808355,138.064945,30,120
34.808370,138.064920,30,123
34.808386,138.064895,30,126
34.808401,138.064870,30,128
34.808417,138.064845,30,131
34.808432,138.064820,30,134
34.808448,138.064795,30,137
34.808463,138.064769,30,140
34.808479,138.064744,30,143
34.808494,138.064719,30,146
34.808510,138.064694,30,148
34.808525,138.064669,30,151
34.808541,138.064644,30,154
34.808556,138.064619,30,157
34.808572,138.064594,30,160
34.808587,138.064569,30,163
34.808603,138.064544,30,166
34.808618,138.064519,30,169
34.808634,138.064494,30,171
34.808649,138.064469,30,174
34.808665,138.064444,30,177
34.808680,138.064419,30,180
34.808696,138.064394,30,183
34.808711,138.064369,30,186
34.808727,138.064344,30,189
34.808742,138.064319,30,191
34.808758,138.064294,30,194
34.808773,138.064269,30,197
34.808789,138.064244,30,200
34.808804,138.064218,30,203
34.808820,138.064193,30,206
34.808835,138.064168,30,209
34.808851,138.064143,30,211
34.808866,138.064118,30,214
34.808882,138.064093,30,217
34.808897,138.064068,30,220
34.808913,138.064043,30,223
34.808928,138.064018,30,226
34.808944,138.063993,30,229
34.808959,138.063968,30,232
34.808975,138.063943,30,234
34.808990,138.063918,30,237
34.809006,138.063893,30,240
34.809021,138.063868,30,243
34.809037,138.063843,30,246
34.809052,138.063818,30,249
34.809068,138.063793,30,252
34.809083,138.063768,30,254
34.809099,138.063743,30,257
34.809114,138.063718,30,260
34.809130,138.063693,30,263
34.809145,138.063667,30,266
34.809161,138.063642,30,269
34.809176,138.063617,30,272
34.809192,138.063592,30,275
34.809207,138.063567,30,277
34.809223,138.063542,30,280
34.809238,138.063517,30,283
34.809254,138.063492,30,286
34.809269,138.063467,30,289
34.809285,138.063442,30,292
34.809300,138.063417,30,295
34.809316,138.063392,30,297
34.809331,138.063367,30,300
34.809347,138.063342,30,303
34.809362,138.063317,30,306
34.809378,138.063292,30,309
34.809393,138.063267,30,312
34.809409,138.063242,30,315
34.809424,138.063217,30,317
34.809440,138.063192,30,320
34.809455,138.063167,30,323
34.809471,138.063142,30,326
34.809486,138.063116,30,329
34.809502,138.063091,30,332
34.809517,138.063066,30,335
34.809533,138.063041,30,338
34.809548,138.063016,30,340
34.809564,138.062991,30,343
34.809579,138.062966,30,346
34.809595,138.062941,30,349
34.809610,138.062916,30,352
34.809626,138.062891,30,355
34.809641,138.062866,30,358
34.809657,138.062841,30,360
34.809672,138.062816,30,363
34.809688,138.062791,30,366
34.809703,138.062766,30,369
34.809719,138.062741,30,372
34.809734,138.062716,30,375
34.809750,138.062691,30,378
34.809765,138.062666,30,381
34.809781,138.062641,30,383
34.809796,138.062616,30,386
34.809812,138.062591,30,389
34.809827,138.062565,30,392
34.809843,138.062540,30,395
34.809858,138.062515,30,398
34.809874,138.062490,30,401
34.809889,138.062465,30,403
34.809905,138.062440,30,406
34.809920,138.062415,30,409
34.809936,138.062390,30,412
34.809951,138.062365,30,415
34.809967,138.062340,30,418
34.809982,138.062315,30,421
34.809998,138.062290,30,423
34.810013,138.062265,30,426
34.810029,138.062240,30,429
34.810044,138.062215,30,432
34.810060,138.062190,30,435
34.810075,138.062165,30,438
34.810091,138.062140,30,441
34.810106,138.062115,30,444
34.810122,138.062090,30,446
34.810137,138.062065,30,449
34.810153,138.062039,30,452
34.810168,138.062014,30,455
34.810184,138.061989,30,458
34.810199,138.061964,30,461
34.810215,138.061939,30,464
34.810230,138.061914,30,466
34.810246,138.061889,30,469
34.810261,138.061864,30,472
34.810277,138.061839,30,475
34.810292,138.061814,30,478
34.810308,138.061789,30,481
34.810323,138.061764,30,484
34.810339,138.061739,30,487
34.810354,138.061714,30,489
34.810370,138.061689,30,492
34.810385,138.061664,30,495
34.810401,138.061639,30,498
34.810416,138.061614,30,501
34.810432,138.061589,30,504
34.810447,138.061564,30,507
34.810463,138.061539,30,509
34.810478,138.061514,30,512
34.810494,138.061488,30,515
34.810509,138.061463,30,518
34.810525,138.061438,30,521
34.810540,138.061413,30,524
34.810556,138.061388,30,527
34.810571,138.061363,30,529
34.810587,138.061338,30,532
34.810602,138.061313,30,535
34.810618,138.061288,30,538
34.810633,138.061263,30,541
34.810648,138.061238,30,544
34.810664,138.061213,30,547
34.810679,138.061188,30,550
34.810695,138.061163,30,552
34.810710,138.061138,30,555
34.810726,138.061113,30,558
34.810741,138.061088,30,561
34.810757,138.061063,30,564
34.810772,138.061038,30,567
34.810788,138.061013,30,570
34.810803,138.060988,30,572
34.810819,138.060963,30,575
34.810834,138.060937,30,578
34.810850,138.060912,30,581
34.810865,138.060887,30,584
34.810881,138.060862,30,587
34.810896,138.060837,30,590
34.810912,138.060812,30,593
34.810927,138.060787,30,595
34.810943,138.060762,30,598
34.810958,138.060737,30,601
34.810974,138.060712,30,604
34.810989,138.060687,30,607
34.811005,138.060662,30,610
34.811020,138.060637,30,613
34.811036,138.060612,30,615
34.811051,138.060587,30,618
34.811067,138.060562,30,621
34.811082,138.060537,30,624
34.811098,138.060512,30,627
34.811113,138.060487,30,630
34.811129,138.060462,30,633
34.811144,138.060437,30,635
34.811160,138.060411,30,638
34.811175,138.060386,30,641
34.811191,138.060361,30,644
34.811206,138.060336,30,647
34.811222,138.060311,30,650
34.811237,138.060286,30,653
34.811253,138.060261,30,656
34.811268,138.060236,30,658
34.811284,138.060211,30,661
34.811299,138.060186,30,664
34.811315,138.060161,30,667
34.811330,138.060136,30,670
34.811346,138.060111,30,673
34.811361,138.060086,30,676
34.811377,138.060061,30,678
34.811392,138.060036,30,681
34.811408,138.060011,30,684
34.811423,138.059986,30,687
34.811439,138.059961,30,690
34.811454,138.059936,30,693
34.811470,138.059911,30,696
34.811485,138.059886,30,699
34.811501,138.059860,30,701
34.811516,138.059835,30,704
34.811532,138.059810,30,707
34.811547,138.059785,30,710
34.811563,138.059760,30,713
34.811578,138.059735,30,716
34.811594,138.059710,30,719
34.811609,138.059685,30,721
34.811625,138.059660,30,724
34.811640,138.059635,30,727
34.811656,138.059610,30,730
34.811671,138.059585,30,733
34.811687,138.059560,30,736
34.811702,138.059535,30,739
34.811718,138.059510,30,741
34.811733,138.059485,30,744
34.811749,138.059460,30,747
34.811764,138.059435,30,750
34.811780,138.059410,30,753
34.811795,138.059385,30,756
34.811811,138.059360,30,759
34.811826,138.059334,30,762
34.811842,138.059309,30,764
34.811857,138.059284,30,767
34.811873,138.059259,30,770
34.811888,138.059234,30,773
34.811904,138.059209,30,776
34.811919,138.059184,30,779
34.811935,138.059159,30,782
34.811950,138.059134,30,784
34.811966,138.059109,30,787
34.811981,138.059084,30,790
34.811997,138.059059,30,793
34.812012,138.059034,30,796
34.812028,138.059009,30,799
34.812043,138.058984,30,802
34.812059,138.058959,30,805
34.812074,138.058934,30,807
34.812090,138.058909,30,810
34.812105,138.058884,30,813
34.812121,138.058859,30,816
34.812136,138.058834,30,819
34.812152,138.058808,30,822
34.812167,138.058783,30,825
34.812183,138.058758,30,827
34.812198,138.058733,30,830
34.812214,138.058708,30,833
34.812229,138.058683,30,836
34.812245,138.058658,30,839
34.812260,138.058633,30,842
34.812276,138.058608,30,845
34.812291,138.058583,30,847
34.812307,138.058558,30,850
34.812322,138.058533,30,853
34.812338,138.058508,30,856
